variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	en-uk	Phi-3-Medium	none	1	997	30628	30.72	4	8068	234831024	1.957
legacy_none	legacy (none)	en-zh	CycleL	none	1	997	4159	4.172	4	1462	4606813	0.366
legacy_none	legacy (none)	en-zh	CycleL2	none	1	997	6974	6.995	4	2477	13391788	0.29
legacy_none	legacy (none)	en-zh	HW-TSC	none	1	997	1946	1.952	4	892	1195990	0.226
legacy_none	legacy (none)	en-zh	IKUN	none	1	997	1377	1.381	4	741	685449	0.204
legacy_none	legacy (none)	en-zh	IKUN-C	none	1	997	1401	1.405	4	746	702999	0.205
legacy_none	legacy (none)	en-zh	IOL-Research	none	1	997	1291	1.295	4	713	620789	0.211
legacy_none	legacy (none)	en-zh	NVIDIA-NeMo	none	1	997	3642	3.653	4	1812	4577450	0.27
legacy_none	legacy (none)	en-zh	Unbabel-Tower70B	none	1	997	1902	1.908	4	997	1277498	0.215
legacy_none	legacy (none)	en-zh	UvA-MT	none	1	997	6841	6.862	4	2394	12346543	0.291
legacy_none	legacy (none)	en-zh	Aya23	none	1	997	1532	1.537	4	773	791554	0.213
legacy_none	legacy (none)	en-zh	CommandR-plus	none	1	997	1885	1.891	4	902	1139655	0.214
legacy_none	legacy (none)	en-zh	ONLINE-W	none	1	997	2534	2.542	4	1052	1897470	0.217
legacy_none	legacy (none)	en-zh	ONLINE-B	none	1	997	2404	2.411	4	1040	1777986	0.222
legacy_none	legacy (none)	en-zh	Llama3-70B	none	1	997	1471	1.475	4	832	830515	0.209
legacy_none	legacy (none)	en-zh	ONLINE-A	none	1	997	1929	1.935	4	961	1241387	0.219
legacy_none	legacy (none)	en-zh	ONLINE-G	none	1	997	2480	2.487	4	799	1628962	0.219
legacy_none	legacy (none)	en-zh	Gemini-1.5-Pro	none	1	997	2796	2.804	4	1686	3286152	0.23
legacy_none	legacy (none)	en-zh	Mistral-Large	none	1	997	1835	1.841	4	1188	1558325	0.209
legacy_none	legacy (none)	en-zh	Claude-3.5	none	1	997	2200	2.207	4	918	1677230	0.235
legacy_none	legacy (none)	en-zh	GPT-4	none	1	997	1334	1.338	4	706	634364	0.209
legacy_none	legacy (none)	en-zh	Phi-3-Medium	none	1	997	1339	1.343	4	708	636125	0.199
legacy_none	legacy (none)	ja-zh	CycleL	none	1	721	7374	10.227	3	2727	18456278	0.314
legacy_none	legacy (none)	ja-zh	DLUT-GTCOM	none	1	721	891	1.236	3	384	284045	0.17
legacy_none	legacy (none)	ja-zh	IKUN	none	1	721	947	1.313	3	375	310945	0.172
legacy_none	legacy (none)	ja-zh	IKUN-C	none	1	721	901	1.25	3	359	281595	0.168
